title,true_label,final_prediction,z_label,z_reason,a_final,b_final,num_debate_turns
"Germany should be proud of its WW2 soldiers, far-r...",real,fake,pass,"Claim is supported by credible sources (Reuters, The Guardian, BBC) reporting on comments made by a ...",fake,fake,2
"Among Trump associates, concern and frustration ov...",real,fake,pass,"The claim is supported by credible sources such as Reuters and The Hill, which discuss the concern a...",fake,real,6
 Colin Powell Bashes GOP Candidates For ‘Belittlin...,fake,real,pass,The claim is supported by a credible source (NPR) that reported on Colin Powell's comments regarding...,real,real,2
"Factbox: Trump on Twitter (Jan 19)-Rev. Graham, Wa...",real,fake,pass,The claim is supported by credible sources (Reuters) and accurately references Donald Trump's Twitte...,fake,fake,2
TINA FEY Blasts ONLY White Women For Voting For Tr...,fake,real,pass,"Tina Fey did address college-educated white women who voted for Trump, as reported by credible sourc...",real,real,2
Romanian president opposes plans for judicial over...,real,fake,pass,"Supported by credible sources (Reuters, DW, RFE/RL) confirming the Romanian president's opposition t...",fake,real,6
" Clinton Campaign Announces BAD News For Trump, Wi...",fake,real,pass,"The claim about the Clinton campaign participating in a recount is supported by credible sources, in...",real,real,2
"Trump on Twitter (May 2): Shutdown, legislation, D...",real,fake,pass,The claim is supported by a credible source (Reuters) that confirms Trump's tweet regarding Director...,fake,real,6
" Lesbian Couple Beaten, Arrested For Holding Hands...",fake,real,pass,"Supported by credible sources (The Guardian, BBC) confirming the settlement awarded to a lesbian cou...",real,real,2
Kremlin says allegations it hacked U.S. Democratic...,real,fake,pass,"Claim is supported by credible sources (CNBC, Reuters, Hindustan Times) reporting on the Kremlin's d...",fake,real,6
WATCH BILL O’REILLY’S EXCLUSIVE INTERVIEW With Pre...,fake,real,pass,The claim about Bill O'Reilly's exclusive interview with President Trump is supported by a video lin...,real,real,2
"In western Moscow, Putin allies lose an election b...",real,fake,pass,Claim is supported by credible sources (Reuters) detailing the loss of a local council election by P...,fake,real,6
